"Marital_status","Application_mode","Application_order","Course","Daytime_evening_attendance","Previous_qualification","Previous_qualification_grade","Nacionality","Mother_s_qualification","Father_s_qualification","Mother_s_occupation","Father_s_occupation","Admission_grade","Displaced","Educational_special_needs","Debtor","Tuition_fees_up_to_date","Gender","Scholarship_holder","Age_at_enrollment","International","Curricular_units_1st_sem_credited","Curricular_units_1st_sem_enrolled","Curricular_units_1st_sem_evaluations","Curricular_units_1st_sem_approved","Curricular_units_1st_sem_grade","Curricular_units_1st_sem_without_evaluations","Curricular_units_2nd_sem_credited","Curricular_units_2nd_sem_enrolled","Curricular_units_2nd_sem_evaluations","Curricular_units_2nd_sem_approved","Curricular_units_2nd_sem_grade","Curricular_units_2nd_sem_without_evaluations","Unemployment_rate","Inflation_rate","GDP","Target"
"Single","1st phase - general contingent",5,"Nursing","daytime","Secondary education",144,"Portuguese",19,38,"Administrative staff","Installation and Machine Operators and Assembly Workers",141.3,1,0,0,1,0,1,18,0,0,8,9,8,13.31,1,0,8,9,8,13.31,1,9.4,-0.8,-3.12,"Graduate"
"Single","2nd phase - general contingent",1,"Social Service","daytime","Secondary education",120,"Portuguese",37,37,"Administrative staff","Unskilled Workers",117.1,1,0,0,1,0,1,18,0,0,6,10,5,10.5714285714286,1,0,6,9,5,12.2,0,12.7,3.7,-1.7,"Graduate"
"Single","2nd phase - general contingent",3,"Nursing","daytime","Secondary education",144,"Portuguese",1,37,"Unskilled Workers","Unskilled Workers",126.5,1,0,0,1,0,1,20,0,0,8,8,7,13.4871428571429,0,0,8,8,7,13.4871428571429,0,10.8,1.4,1.74,"Graduate"
"Single","1st phase - general contingent",1,"Tourism","daytime","Secondary education",132,"Portuguese",19,38,"Unskilled Workers","Skilled Workers in Industry, Construction and Craftsmen",120.1,0,0,0,1,0,1,20,0,0,6,6,6,12.3333333333333,0,0,6,7,6,11.8333333333333,0,13.9,-0.3,0.79,"Graduate"
"Single","1st phase - general contingent",1,"Advertising and Marketing Management","daytime","Secondary education",142,"Portuguese",38,19,"Skilled Workers in Industry, Construction and Craftsmen","Armed Forces Professions",128.4,0,0,0,1,0,0,23,0,0,6,11,6,11.875,0,0,6,9,5,12.8333333333333,0,11.1,0.6,2.02,"Dropout"
"Single","1st phase - general contingent",2,"Nursing","daytime","Secondary education",136,"Portuguese",19,19,"Unskilled Workers","Unskilled Workers",140,1,0,0,1,0,0,20,0,0,7,7,6,13.9666666666667,0,0,7,7,6,13.9666666666667,0,7.6,2.6,0.32,"Graduate"
"Single","Over 23 years old",1,"Tourism","daytime","12th year of schooling - not completed",133.1,"Portuguese",34,34,"Student","Student",110,1,0,0,0,0,0,28,0,0,5,10,0,0,0,0,5,10,0,0,0,7.6,2.6,0.32,"Dropout"
"Single","1st phase - general contingent",1,"Advertising and Marketing Management","daytime","Secondary education",122,"Portuguese",1,19,"Intermediate Level Technicians and Professions","Personal Services, Security and Safety Workers and Sellers",116.8,1,0,0,1,0,0,21,0,0,5,8,4,11.5,0,0,5,5,5,12.8,0,7.6,2.6,0.32,"Graduate"
"Single","1st phase - general contingent",2,"Oral Hygiene","daytime","Secondary education",133.1,"Portuguese",19,19,"Unskilled Workers","Unskilled Workers",104.5,1,0,0,1,0,0,21,0,0,2,2,2,12.5,0,0,7,0,0,0,0,12.4,0.5,1.79,"Dropout"
"Single","Holders of other higher courses",1,"Nursing","daytime","Higher education - degree",140,"Portuguese",34,34,"Student","Student",140,0,0,0,1,0,0,28,0,0,7,0,0,0,0,0,8,0,0,0,0,7.6,2.6,0.32,"Dropout"
"Single","1st phase - general contingent",1,"Nursing","daytime","Secondary education",117,"Portuguese",3,1,"Intermediate Level Technicians and Professions","Intermediate Level Technicians and Professions",113.2,0,1,0,1,0,0,18,0,0,7,10,6,11.98,0,0,8,11,7,13.225,0,16.2,0.3,-0.92,"Graduate"
"Single","2nd phase - general contingent",1,"Social Service","daytime","Secondary education",128,"Portuguese",38,19,"Cleaning workers","Workers in food processing, woodworking, clothing and other industries and crafts",118.6,1,0,0,1,0,1,21,0,0,6,8,5,13.2,0,0,6,7,5,11.8,0,8.9,1.4,3.51,"Enrolled"
"Single","1st phase - general contingent",1,"Nursing","daytime","Secondary education",136,"Portuguese",1,1,"Administrative staff","Administrative staff",123.8,0,0,0,1,0,0,19,0,0,7,10,6,11.6142857142857,0,0,8,8,8,14.0375,0,13.9,-0.3,0.79,"Graduate"
"Single","3rd phase - general contingent",6,"Nursing","daytime","Secondary education",141,"Portuguese",1,19,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",126.7,1,0,0,1,0,1,18,0,0,8,8,7,14.3142857142857,0,0,8,8,7,14.3142857142857,0,12.7,3.7,-1.7,"Graduate"
"Single","1st phase - general contingent",3,"Nursing","daytime","Secondary education",130,"Portuguese",3,1,"Specialists in Intellectual and Scientific Activities","Personal Services, Security and Safety Workers and Sellers",133.8,0,0,0,1,0,0,19,0,0,7,0,0,0,0,0,8,0,0,0,0,7.6,2.6,0.32,"Dropout"
"Single","1st phase - general contingent",3,"Nursing","daytime","Secondary education",102,"Portuguese",1,19,"Unskilled Workers","Personal Services, Security and Safety Workers and Sellers",100.6,1,0,0,1,0,1,20,0,0,7,9,6,12.7666666666667,0,0,8,10,7,12.1285714285714,0,12.4,0.5,1.79,"Graduate"
"Single","2nd phase - general contingent",1,"Basic Education","daytime","Secondary education",126,"Portuguese",1,37,"Skilled Workers in Industry, Construction and Craftsmen","Unskilled Workers",132.7,0,0,0,1,0,1,18,0,0,6,7,6,12.6666666666667,0,0,6,7,5,12.2,0,10.8,1.4,1.74,"Graduate"
"Single","Change of course",2,"Advertising and Marketing Management","daytime","Secondary education",125,"Portuguese",38,19,"Administrative staff","Intermediate Level Technicians and Professions",106.6,1,0,0,1,0,0,20,0,4,6,7,6,11.5,0,0,6,10,4,10.5714285714286,0,10.8,1.4,1.74,"Dropout"
"Single","2nd phase - general contingent",3,"Nursing","daytime","Secondary education",132,"Portuguese",37,37,"Unskilled Workers","Skilled Workers in Industry, Construction and Craftsmen",128.3,1,0,0,1,0,1,19,0,0,7,8,7,14.70625,0,0,8,8,8,14.4775,0,15.5,2.8,-4.06,"Graduate"
"Single","1st phase - general contingent",3,"Nursing","daytime","Secondary education",128,"Portuguese",38,38,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",118.6,1,0,0,1,0,1,19,0,0,7,9,6,11.8142857142857,0,0,8,8,7,13.5428571428571,0,13.9,-0.3,0.79,"Graduate"
"Single","1st phase - general contingent",1,"Communication Design","daytime","Secondary education",115,"Portuguese",19,1,"Intermediate Level Technicians and Professions","Installation and Machine Operators and Assembly Workers",123.4,0,0,0,1,0,0,23,0,1,6,8,6,13,1,0,6,8,6,11.875,0,13.9,-0.3,0.79,"Graduate"
"Single","1st phase - general contingent",1,"Advertising and Marketing Management","daytime","Secondary education",125,"Portuguese",37,37,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",124,0,0,0,1,0,0,19,0,0,6,7,6,14.8571428571429,0,0,6,6,6,13.3333333333333,0,12.4,0.5,1.79,"Graduate"
"Single","1st phase - general contingent",6,"Nursing","daytime","Secondary education",137,"Portuguese",1,3,"Intermediate Level Technicians and Professions","Specialists in Intellectual and Scientific Activities",121.3,1,0,0,1,0,0,20,0,0,7,7,6,12.6,0,0,7,7,6,12.6,0,7.6,2.6,0.32,"Graduate"
"Single","Holders of other higher courses",3,"Equinculture","daytime","Higher education - degree",130,"Portuguese",19,37,"Other Situation","Personal Services, Security and Safety Workers and Sellers",130,0,0,1,0,0,0,27,0,1,5,6,2,11.5,0,0,5,5,1,11,0,12.7,3.7,-1.7,"Dropout"
"Single","Over 23 years old",1,"Oral Hygiene","daytime","Basic education 3rd cycle (9th/10th/11th year) or equiv.",100,"Portuguese",37,38,"Unskilled Workers","Unskilled Workers",120,0,0,0,1,0,0,29,0,0,7,9,1,10,0,0,7,0,0,0,0,12.7,3.7,-1.7,"Dropout"
"Single","2nd phase - general contingent",1,"Tourism","daytime","Secondary education",122,"Portuguese",1,19,"Administrative staff","Intermediate Level Technicians and Professions",130.4,1,0,0,1,0,0,18,0,0,6,10,5,11.8,0,0,6,10,5,12.2,0,11.1,0.6,2.02,"Graduate"
"Single","2nd phase - general contingent",1,"Communication Design","daytime","Secondary education",126,"Portuguese",19,38,"Unskilled Workers","Skilled Workers in Industry, Construction and Craftsmen",118.7,0,0,0,1,0,0,18,0,0,6,7,5,11.8,0,0,6,6,6,12.6666666666667,0,16.2,0.3,-0.92,"Graduate"
"Single","2nd phase - general contingent",1,"Nursing","daytime","Secondary education",128,"Portuguese",38,38,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",131.5,0,0,0,1,0,0,18,0,0,8,8,8,12.77125,0,0,8,8,8,12.77125,0,9.4,-0.8,-3.12,"Graduate"
"Single","2nd phase - general contingent",2,"Tourism","daytime","Secondary education",128,"Portuguese",38,38,"Unskilled Workers","Unskilled Workers",129.1,1,0,0,1,0,0,18,0,0,6,6,6,12.6666666666667,0,0,6,7,5,14.6,0,11.1,0.6,2.02,"Graduate"
"Single","1st phase - general contingent",1,"Communication Design","daytime","Secondary education",125,"Portuguese",1,1,"Administrative staff","Administrative staff",132,0,0,0,0,0,0,18,0,1,6,10,5,12.2,1,0,6,11,4,10.8333333333333,0,13.9,-0.3,0.79,"Enrolled"
"Single","Holders of other higher courses",2,"Veterinary Nursing","daytime","Higher education - degree",130,"Portuguese",3,3,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",130,0,0,0,0,0,0,28,0,0,5,9,1,12,1,0,4,10,0,0,4,10.8,1.4,1.74,"Dropout"
"Single","1st phase - general contingent",2,"Journalism and Communication","daytime","Secondary education",138,"Portuguese",19,1,"Unskilled Workers","Intermediate Level Technicians and Professions",133.5,1,0,0,1,0,0,18,0,0,6,6,6,12.6666666666667,0,0,6,6,6,13.6666666666667,0,12.7,3.7,-1.7,"Graduate"
"Single","1st phase - general contingent",2,"Management","daytime","Secondary education",125,"Portuguese",1,19,"Administrative staff","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",115.2,0,1,0,1,0,0,21,0,0,5,6,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single","1st phase - general contingent",2,"Communication Design","daytime","Secondary education",121,"Portuguese",4,1,"Specialists in Intellectual and Scientific Activities","Intermediate Level Technicians and Professions",120.7,1,0,0,1,0,0,18,0,0,6,8,4,10.75,0,0,6,9,0,0,0,9.4,-0.8,-3.12,"Enrolled"
"Married","Over 23 years old",1,"Social Service (evening attendance)","evening","Secondary education",120,"Portuguese",34,34,"(blank)","(blank)",101.8,0,0,0,0,0,0,32,0,0,5,5,0,0,0,0,5,10,0,0,0,10.8,1.4,1.74,"Dropout"
"Single","Over 23 years old",2,"Advertising and Marketing Management","daytime","Secondary education",140,"Portuguese",34,34,"Student","Student",100,0,0,0,1,0,0,28,0,0,5,6,4,12.5,0,0,5,7,4,11.75,0,7.6,2.6,0.32,"Graduate"
"Single","Over 23 years old",1,"Management (evening attendance)","evening","Secondary education",100,"Portuguese",37,19,"Unskilled Workers","Specialists in Intellectual and Scientific Activities",121.9,0,0,0,0,0,0,40,0,0,4,4,0,0,0,0,5,0,0,0,0,12.7,3.7,-1.7,"Dropout"
"Married","3rd phase - general contingent",2,"Social Service (evening attendance)","evening","Secondary education",140,"Portuguese",37,37,"Unskilled Workers","Armed Forces Professions",120.4,0,0,1,0,0,0,39,0,0,5,5,0,0,0,0,4,4,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Married","3rd phase - general contingent",2,"Social Service","daytime","Secondary education",140,"Portuguese",37,37,"Unskilled Workers","Armed Forces Professions",120.4,0,0,1,0,0,0,39,0,0,6,0,0,0,0,0,6,0,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Single","2nd phase - general contingent",2,"Basic Education","daytime","Secondary education",138,"Portuguese",1,1,"Unskilled Workers","Administrative staff",123,1,0,0,1,0,0,23,0,0,6,10,5,12.8,0,0,6,9,3,11.6666666666667,0,10.8,1.4,1.74,"Dropout"
"Divorced","Over 23 years old",1,"Social Service (evening attendance)","evening","Basic education 3rd cycle (9th/10th/11th year) or equiv.",133.1,"Portuguese",34,34,"Student","Student",100,0,0,0,1,0,0,48,0,0,6,11,1,10,0,0,6,11,1,11,0,9.4,-0.8,-3.12,"Dropout"
"Single","2nd phase - general contingent",2,"Basic Education","daytime","Secondary education",118,"Portuguese",37,37,"Unskilled Workers","Unskilled Workers",112.1,1,0,0,1,0,0,23,0,0,6,11,4,11.25,0,0,6,10,5,10.2,0,7.6,2.6,0.32,"Dropout"
"Single","1st phase - general contingent",6,"Nursing","daytime","Secondary education",135,"Portuguese",37,1,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126.8,1,0,0,1,0,1,18,0,0,8,8,7,12.61,0,0,8,8,7,12.61,0,10.8,1.4,1.74,"Graduate"
"Single","International student (bachelor)",1,"Social Service","daytime","Secondary education",150,"Santomean",3,37,"Specialists in Intellectual and Scientific Activities","Installation and Machine Operators and Assembly Workers",132.5,1,0,0,0,0,0,20,1,0,6,9,5,13,0,0,6,7,6,13.5,0,13.9,-0.3,0.79,"Graduate"
"Single","3rd phase - general contingent",3,"Veterinary Nursing","daytime","Secondary education",149,"Ukrainian",1,1,"Unskilled Workers","Unskilled Workers",132.2,1,0,0,1,0,1,18,1,0,5,9,4,12,0,0,5,8,5,13,0,10.8,1.4,1.74,"Graduate"
"Single","Over 23 years old",1,"Informatics Engineering","daytime","Basic education 3rd cycle (9th/10th/11th year) or equiv.",133.1,"Portuguese",19,19,"Personal Services, Security and Safety Workers and Sellers","Intermediate Level Technicians and Professions",100.9,1,0,0,1,1,0,24,0,0,5,9,1,12,0,0,5,6,3,10.5,0,10.8,1.4,1.74,"Enrolled"
"Single","Over 23 years old",1,"Animation and Multimedia Design","daytime","Secondary education",145,"Portuguese",3,1,"Specialists in Intellectual and Scientific Activities","Armed Forces Professions",114.5,1,0,0,1,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,"Graduate"
"Single","Over 23 years old",1,"Management","daytime","Secondary education",110,"Portuguese",37,37,"Unskilled Workers","Unskilled Workers",110.3,0,0,1,0,1,0,26,0,0,5,5,0,0,0,0,5,9,0,0,0,10.8,1.4,1.74,"Dropout"
"Single","1st phase - general contingent",1,"Equinculture","daytime","Secondary education",154,"Portuguese",3,3,"Specialists in Intellectual and Scientific Activities","Specialists in Intellectual and Scientific Activities",137.2,1,0,1,1,1,0,18,0,0,6,11,5,13.625,0,0,6,9,4,11.75,0,16.2,0.3,-0.92,"Dropout"
"Single","2nd phase - general contingent",1,"Advertising and Marketing Management","daytime","Secondary education",133,"Portuguese",19,37,"Unskilled Workers","Installation and Machine Operators and Assembly Workers",121.8,1,0,0,1,1,0,22,0,0,6,0,0,0,0,0,6,0,0,0,0,13.9,-0.3,0.79,"Dropout"
"Single","1st phase - general contingent",2,"Nursing","daytime","Secondary education",145,"Portuguese",4,2,"Specialists in Intellectual and Scientific Activities","Intermediate Level Technicians and Professions",127.3,1,0,0,1,1,0,18,0,0,8,8,7,11.69,0,0,8,8,7,11.69,0,10.8,1.4,1.74,"Graduate"
"Single","Technological specialization diploma holders",1,"Animation and Multimedia Design","daytime","Technological specialization course",150,"Portuguese",4,4,"Specialists in Intellectual and Scientific Activities","Specialists in Intellectual and Scientific Activities",150,0,0,0,1,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,"Graduate"
"Single","Change of course",1,"Management (evening attendance)","evening","Secondary education",150,"Portuguese",3,3,"Administrative staff","Administrative staff",100,1,0,0,1,1,0,24,0,0,5,10,4,11.5,0,0,5,11,5,11.2857142857143,0,13.9,-0.3,0.79,"Graduate"
"Single","Over 23 years old",1,"Informatics Engineering","daytime","Secondary education",150,"Portuguese",3,3,"Administrative staff","Administrative staff",150,1,0,0,1,1,0,27,0,0,5,10,1,14,0,0,5,0,0,0,0,8.9,1.4,3.51,"Dropout"
"Single","2nd phase - general contingent",1,"Tourism","daytime","Secondary education",127,"Portuguese",3,19,"Administrative staff","Administrative staff",116.9,0,0,0,1,1,0,21,0,0,6,7,5,11,0,0,6,7,5,12.4,0,15.5,2.8,-4.06,"Graduate"
"Single","Technological specialization diploma holders",1,"Agronomy","daytime","Technological specialization course",140,"Portuguese",19,38,"Intermediate Level Technicians and Professions","Unskilled Workers",140,1,0,0,1,1,0,21,0,0,6,7,6,12.8571428571429,0,0,6,6,6,13.1666666666667,0,12.4,0.5,1.79,"Graduate"
"Single","3rd phase - general contingent",3,"Journalism and Communication","daytime","Secondary education",128,"Portuguese",19,1,"Unskilled Workers","Unskilled Workers",122.1,1,0,0,1,1,0,19,0,0,6,9,4,12.5,0,0,6,6,6,11.3333333333333,0,10.8,1.4,1.74,"Dropout"
"Single","Over 23 years old",1,"Nursing","daytime","Secondary education",127,"Portuguese",19,19,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",160,0,0,0,1,1,0,28,0,0,7,7,7,14.5285714285714,0,0,8,11,8,15.0181818181818,0,16.2,0.3,-0.92,"Graduate"
"Single","1st phase - general contingent",1,"Management","daytime","Secondary education",117,"Portuguese",19,19,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",118.4,0,0,0,1,1,0,20,0,0,5,8,5,10,0,0,5,10,2,12,0,7.6,2.6,0.32,"Enrolled"
"Single","Technological specialization diploma holders",1,"Agronomy","daytime","Technological specialization course",150,"Portuguese",1,19,"Administrative staff","Armed Forces Professions",150,0,0,0,1,1,1,21,0,0,6,8,6,13,0,0,6,10,6,12.625,0,15.5,2.8,-4.06,"Graduate"
"Single","1st phase - general contingent",1,"Nursing","daytime","Secondary education",154,"Portuguese",1,1,"Personal Services, Security and Safety Workers and Sellers","Intermediate Level Technicians and Professions",144.9,0,0,0,1,1,1,18,0,0,7,7,7,15.9571428571429,0,0,8,9,8,15.1888888888889,0,16.2,0.3,-0.92,"Graduate"
"Single","2nd phase - general contingent",2,"Informatics Engineering","daytime","Secondary education",127,"Portuguese",19,1,"Unskilled Workers","Armed Forces Professions",121.1,1,0,0,1,1,1,18,0,0,5,6,5,13.2,0,0,5,8,5,12.6,0,8.9,1.4,3.51,"Enrolled"
"Single","1st phase - general contingent",2,"Management","daytime","Secondary education",133,"Portuguese",19,1,"Personal Services, Security and Safety Workers and Sellers","Armed Forces Professions",121.8,0,0,0,1,1,0,20,0,0,5,9,4,10.2,0,0,5,6,3,11,0,15.5,2.8,-4.06,"Enrolled"
"Single","Over 23 years old",1,"Informatics Engineering","daytime","Higher education - degree (1st cycle)",120,"Portuguese",1,1,"Personal Services, Security and Safety Workers and Sellers","Armed Forces Professions",146.8,0,0,0,1,1,0,25,0,2,5,6,5,14.2,0,1,5,5,2,13.5,0,16.2,0.3,-0.92,"Enrolled"
"Single","1st phase - general contingent",1,"Advertising and Marketing Management","daytime","Secondary education",133.1,"Portuguese",38,19,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",138,0,0,1,1,1,0,22,0,0,6,8,6,12.625,0,0,6,11,2,14.5,0,11.1,0.6,2.02,"Enrolled"
"Single","1st phase - general contingent",1,"Nursing","daytime","Secondary education",149,"Portuguese",37,37,"Unskilled Workers","Unskilled Workers",138,0,0,0,1,1,0,18,0,0,8,11,6,13.4966666666667,1,0,8,11,6,13.4966666666667,1,9.4,-0.8,-3.12,"Enrolled"
"Single","2nd phase - general contingent",2,"Management","daytime","Secondary education",125,"Portuguese",19,38,"Unskilled Workers","Skilled Workers in Industry, Construction and Craftsmen",116.3,1,0,0,1,1,0,19,0,0,5,8,5,13.25,0,0,5,8,5,11,0,13.9,-0.3,0.79,"Graduate"
